name,kegg,synonyms,inchikey,smiles,chebis,pubchems,rdkit_img,kegg_img
3-hydroxybenzaldehyde(aq),kegg:C03067,[],,,chebi:16207,pubchem:5967,,https://rest.kegg.jp/get/:/image
(3R)-3-hydroxybutanoyl-[acyl-carrier protein](aq),kegg:C04618,[],,,,pubchem:7208,,https://rest.kegg.jp/get/:/image
3-oxobutanoyl-[acyl-carrier protein](aq),,[],,,,,,
L-carnitine(aq),kegg:C00318,[],,,chebi:16347,pubchem:3612,,https://rest.kegg.jp/get/:/image
3-dehydrocarnitine(aq),kegg:C02636,[],,,chebi:16758,pubchem:5616,,https://rest.kegg.jp/get/:/image
indole-3-lactate(aq),kegg:C02043,[],,,chebi:17282,pubchem:5133,,https://rest.kegg.jp/get/:/image
indole-3-pyruvate(aq),kegg:C00331,[],,,chebi:29750,pubchem:3625,,https://rest.kegg.jp/get/:/image
D-glucose(aq),kegg:C00031,"['-D-glucose(aq)', 'D-glucose(aq)']",,,chebi:4167,pubchem:3333,,https://rest.kegg.jp/get/:/image
5-dehydro-D-fructose(aq),kegg:C00273,[],,,chebi:17011,pubchem:3571,,https://rest.kegg.jp/get/:/image
2-deoxy-D-gluconate(aq),kegg:C02782,[],,,chebi:16138,pubchem:5733,,https://rest.kegg.jp/get/:/image
2-deoxy-3-dehydro-D-gluconate(aq),kegg:C03926,[],,,chebi:16622,pubchem:6654,,https://rest.kegg.jp/get/:/image
L-threonate(aq),kegg:C01620,[],,,chebi:49060,pubchem:4772,,https://rest.kegg.jp/get/:/image
3-oxo-L-threonate(aq),kegg:C03064,[],,,chebi:16943,pubchem:5964,,https://rest.kegg.jp/get/:/image
D-sorbitol 6-phosphate(aq),kegg:C01096,[],,,chebi:17044,pubchem:4331,,https://rest.kegg.jp/get/:/image
prostaglandin E1(aq),kegg:C04741,[],,,chebi:15544,pubchem:7312,,https://rest.kegg.jp/get/:/image
15-oxo-prostaglandin E1(aq),kegg:C04654,[],,,chebi:15548,pubchem:7240,,https://rest.kegg.jp/get/:/image
"4-pregnene-11β,17α,21-triol-3,20-dione(aq)",,[],,,,,,
"4-pregnene-11β,17α-diol-3,20,21-trione( aq)",,[],,,,,,
"7,8-dihydrobiopterin(aq)",kegg:C02953,[],,,chebi:64277,pubchem:5871,,https://rest.kegg.jp/get/:/image
sepiapterin(aq),kegg:C00835,[],,,chebi:16095,pubchem:4093,,https://rest.kegg.jp/get/:/image
coniferyl alcohol(aq),kegg:C00590,[],,,chebi:17745,pubchem:3869,,https://rest.kegg.jp/get/:/image
coniferyl aldehyde(aq),kegg:C02666,[],,,chebi:16547,pubchem:5637,,https://rest.kegg.jp/get/:/image
(R)-2-hydroxyglutarate(aq),kegg:C01087,[],,,chebi:15801,pubchem:4322,,https://rest.kegg.jp/get/:/image
2-oxo-D-gluconate(aq),kegg:C06473,[],,,chebi:27469,pubchem:8705,,https://rest.kegg.jp/get/:/image
lactose(aq),kegg:C00243,[],,,chebi:17716,pubchem:3542,,https://rest.kegg.jp/get/:/image
cytochrome c(aq),4 kegg:C00125,[],,,chebi:15991,pubchem:3425,,https://rest.kegg.jp/get/:/image
3-oxolactose(aq),kegg:C05403,[],,,chebi:27571,pubchem:7770,,https://rest.kegg.jp/get/:/image
reduced cytochrome c(aq),4 kegg:C00126,[],,,chebi:16928,pubchem:3426,,https://rest.kegg.jp/get/:/image
formate(aq),kegg:C00058,[],,,chebi:15740,pubchem:3358,,https://rest.kegg.jp/get/:/image
orthophosphate(aq),kegg:C00009,"['orthophosphate(aq)', 'orthophospate(aq)', 'HPO4-2-(aq)', 'phosphate(aq)']",,,chebi:18367,pubchem:3311,,https://rest.kegg.jp/get/:/image
L-4-aspartyl phosphate(aq),kegg:C03082,"['L-4-aspartyl phosphate(aq)', '4-phospho-L-aspartate(aq)']",,,chebi:15836,pubchem:5980,,https://rest.kegg.jp/get/:/image
L-aspartate-4-semialdehyde(aq),kegg:C00441,"['L-aspartate 4-semialdehyde(aq)', 'L-aspartate-4-semialdehyde(aq)']",,,chebi:13086,pubchem:3730,,https://rest.kegg.jp/get/:/image
D-glyceraldehyde 3-phosphate(aq),kegg:C00118,"['D-glyceraldehyde 3-phosphate(aq)', 'D-glyceraldehyde-3-phosphate(aq)']",,,chebi:29052,pubchem:3418,,https://rest.kegg.jp/get/:/image
(aminomethyl)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-animomethyl)phosphate(aq),,[],,,,,,
(chloroethyl)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-chloroethyl)phosphate(aq),,[],,,,,,
(chloromethyl)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-chloromethyl)phosphate(aq),,[],,,,,,
(ethyl)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-ethyl)phosphate(aq),,[],,,,,,
(methoxy)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-methoxy)phosphate(aq),,[],,,,,,
(methyl)phosphoate(aq),,[],,,,,,
(3-phospho-D-glyceroyl-methyl)phosphate(aq),,[],,,,,,
3-phospho-D-glyceroyl phosphate(aq),kegg:C00236,[],,,chebi:16001,pubchem:3535,,https://rest.kegg.jp/get/:/image
phosphonate(aq),,[],,,,,,
(3-phospho-D-glyceroyl)phosphonate(aq),,[],,,,,,
ADP(aq),kegg:C00008,"['ADP(aq)', 'ADP-3-(aq)']",,,chebi:16761,pubchem:3310,,https://rest.kegg.jp/get/:/image
ATP(aq),kegg:C00002,"['ATP(aq)', 'ATP', 'ATP-4-(aq)']",,,chebi:15422,pubchem:3304,,https://rest.kegg.jp/get/:/image
oxalyl-CoA(aq),kegg:C00313,[],,,chebi:15535,pubchem:3607,,https://rest.kegg.jp/get/:/image
succinate(aq),kegg:C00042,[],,,chebi:15741,pubchem:3344,,https://rest.kegg.jp/get/:/image
